Event Name,Type,Date (mm/dd/yyyy),Start Time,End Time,Room / Table Location,Team Number,Team Name
Test Event,Official Match 2,,10:04 AM,10:11 AM,Table 1B,28201,Steel Rangers
Test Event,Official Match 3,,11:00 AM,11:07 AM,Table 2A,28201,Steel Rangers
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 1A,85415,Nova Robotics
Test Event,Official Match 2,,9:56 AM,10:03 AM,Table 2A,85415,Nova Robotics
Test Event,Official Match 3,,11:40 AM,11:47 AM,Table 1A,85415,Nova Robotics
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 1B,62554,Flux
Test Event,Official Match 2,,10:28 AM,10:35 AM,Table 1B,62554,Flux
Test Event,Official Match 3,,11:16 AM,11:23 AM,Table 2A,62554,Flux
Test Event,Official Match 1,,9:08 AM,9:15 AM,Table 1B,197,Shadow Force
Test Event,Official Match 2,,10:36 AM,10:43 AM,Table 2B,197,Shadow Force
Test Event,Official Match 3,,11:40 AM,11:47 AM,Table 2B,197,Shadow Force
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 2B,48565,Silent Titans
Test Event,Official Match 2,,10:12 AM,10:19 AM,Table 2B,48565,Silent Titans
Test Event,Official Match 3,,11:32 AM,11:39 AM,Table 1B,48565,Silent Titans
Test Event,Official Match 1,,9:00 AM,9:07 AM,Table 1A,1571,Volt
Test Event,Official Match 2,,10:28 AM,10:35 AM,Table 2B,1571,Volt
Test Event,Official Match 3,,11:40 AM,11:47 AM,Table 2A,1571,Volt
Test Event,Official Match 1,,9:08 AM,9:15 AM,Table 2A,73865,Cosmic Rebels
Test Event,Official Match 2,,10:44 AM,10:51 AM,Table 2A,73865,Cosmic Rebels
Test Event,Official Match 3,,11:40 AM,11:47 AM,Table 1B,73865,Cosmic Rebels
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 1B,327,Nova Rangers
Test Event,Official Match 2,,10:04 AM,10:11 AM,Table 2A,327,Nova Rangers
Test Event,Official Match 3,,11:16 AM,11:23 AM,Table 2B,327,Nova Rangers
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 2A,23852,Cosmic Falcons
Test Event,Official Match 2,,9:56 AM,10:03 AM,Table 1B,23852,Cosmic Falcons
Test Event,Official Match 3,,11:08 AM,11:15 AM,Table 1A,23852,Cosmic Falcons
Test Event,Official Match 1,,9:00 AM,9:07 AM,Table 2A,11861,Storm Collective
Test Event,Official Match 2,,10:36 AM,10:43 AM,Table 1B,11861,Storm Collective
Test Event,Official Match 3,,11:24 AM,11:31 AM,Table 2A,11861,Storm Collective
Test Event,Official Match 1,,9:00 AM,9:07 AM,Table 1B,388,Automated Systems Design Squadron
Test Event,Official Match 2,,10:36 AM,10:43 AM,Table 2A,388,Automated Systems Design Squadron
Test Event,Official Match 3,,11:16 AM,11:23 AM,Table 1A,388,Automated Systems Design Squadron
Test Event,Official Match 1,,9:32 AM,9:39 AM,Table 1B,32496,Frost Legends
Test Event,Official Match 2,,10:12 AM,10:19 AM,Table 1A,32496,Frost Legends
Test Event,Official Match 3,,11:16 AM,11:23 AM,Table 1B,32496,Frost Legends
Test Event,Official Match 1,,9:16 AM,9:23 AM,Table 1B,4969,Blaze Rangers
Test Event,Official Match 2,,10:44 AM,10:51 AM,Table 1A,4969,Blaze Rangers
Test Event,Official Match 3,,10:52 AM,10:59 AM,Table 1B,4969,Blaze Rangers
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 2A,13345,Rapid Falcons
Test Event,Official Match 2,,10:20 AM,10:27 AM,Table 2B,13345,Rapid Falcons
Test Event,Official Match 3,,11:00 AM,11:07 AM,Table 1A,13345,Rapid Falcons
Test Event,Official Match 1,,9:32 AM,9:39 AM,Table 1A,6326,The Mechanical Marvels Coalition
Test Event,Official Match 2,,10:28 AM,10:35 AM,Table 1A,6326,The Mechanical Marvels Coalition
Test Event,Official Match 3,,11:32 AM,11:39 AM,Table 2A,6326,The Mechanical Marvels Coalition
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 2B,38641,Pixel
Test Event,Official Match 2,,10:20 AM,10:27 AM,Table 1A,38641,Pixel
Test Event,Official Match 3,,11:24 AM,11:31 AM,Table 1A,38641,Pixel
Test Event,Official Match 1,,9:16 AM,9:23 AM,Table 2B,833,Rogue Innovators
Test Event,Official Match 2,,10:04 AM,10:11 AM,Table 2B,833,Rogue Innovators
Test Event,Official Match 3,,10:52 AM,10:59 AM,Table 2B,833,Rogue Innovators
Test Event,Official Match 1,,9:32 AM,9:39 AM,Table 2A,18435,Electric Wolves
Test Event,Official Match 2,,10:36 AM,10:43 AM,Table 1A,18435,Electric Wolves
Test Event,Official Match 3,,11:32 AM,11:39 AM,Table 1A,18435,Electric Wolves
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 1A,78683,Cosmic Innovators
Test Event,Official Match 2,,9:56 AM,10:03 AM,Table 2B,78683,Cosmic Innovators
Test Event,Official Match 3,,11:24 AM,11:31 AM,Table 1B,78683,Cosmic Innovators
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 1B,38483,Neon Phoenixes
Test Event,Official Match 2,,10:20 AM,10:27 AM,Table 1B,38483,Neon Phoenixes
Test Event,Official Match 3,,11:00 AM,11:07 AM,Table 1B,38483,Neon Phoenixes
Test Event,Closing Ceremony,,,,,,
Test Event,Opening Ceremony,,,,,,
