Event Name,Type,Date (mm/dd/yyyy),Start Time,End Time,Room / Table Location,Team Number,Team Name
Test Event,Official Match 1,,9:08 AM,9:15 AM,Table 1C,8166,Savage Circuit Breakers
Test Event,Official Match 2,,10:36 AM,10:43 AM,Table 1C,8166,Savage Circuit Breakers
Test Event,Official Match 3,,12:12 PM,12:19 PM,Table 1A,8166,Savage Circuit Breakers
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 1C,109,Velocity Tinkerers
Test Event,Official Match 2,,10:12 AM,10:19 AM,Table 1C,109,Velocity Tinkerers
Test Event,Official Match 3,,12:20 PM,12:27 PM,Table 1B,109,Velocity Tinkerers
Test Event,Official Match 1,,9:08 AM,9:15 AM,Table 1B,4566,Solar Architects
Test Event,Official Match 2,,10:28 AM,10:35 AM,Table 1A,4566,Solar Architects
Test Event,Official Match 3,,11:40 AM,11:47 AM,Table 1A,4566,Solar Architects
Test Event,Official Match 1,,9:56 AM,10:03 AM,Table 1C,43023,The Incredible Bolt Action Bunch
Test Event,Official Match 2,,11:08 AM,11:15 AM,Table 1A,43023,The Incredible Bolt Action Bunch
Test Event,Official Match 3,,11:32 AM,11:39 AM,Table 1A,43023,The Incredible Bolt Action Bunch
Test Event,Official Match 1,,9:56 AM,10:03 AM,Table 1B,7778,The Unstoppable Robot Innovators
Test Event,Official Match 2,,10:12 AM,10:19 AM,Table 1A,7778,The Unstoppable Robot Innovators
Test Event,Official Match 3,,11:32 AM,11:39 AM,Table 1C,7778,The Unstoppable Robot Innovators
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 1A,837,Rogue Mechanics
Test Event,Official Match 2,,10:44 AM,10:51 AM,Table 1C,837,Rogue Mechanics
Test Event,Official Match 3,,12:04 PM,12:11 PM,Table 1C,837,Rogue Mechanics
Test Event,Official Match 1,,9:00 AM,9:07 AM,Table 1B,4968,Axis
Test Event,Official Match 2,,10:20 AM,10:27 AM,Table 1B,4968,Axis
Test Event,Official Match 3,,11:40 AM,11:47 AM,Table 1C,4968,Axis
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 1B,5050,Infinity Pioneers
Test Event,Official Match 2,,11:00 AM,11:07 AM,Table 1C,5050,Infinity Pioneers
Test Event,Official Match 3,,12:28 PM,12:35 PM,Table 1C,5050,Infinity Pioneers
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 1A,790,Crimson Innovators
Test Event,Official Match 2,,10:20 AM,10:27 AM,Table 1A,790,Crimson Innovators
Test Event,Official Match 3,,11:24 AM,11:31 AM,Table 1A,790,Crimson Innovators
Test Event,Official Match 1,,9:16 AM,9:23 AM,Table 1C,85976,The Fantastic Gear Grinding Crew
Test Event,Official Match 2,,10:28 AM,10:35 AM,Table 1C,85976,The Fantastic Gear Grinding Crew
Test Event,Official Match 3,,11:56 AM,12:03 PM,Table 1B,85976,The Fantastic Gear Grinding Crew
Test Event,Official Match 1,,9:00 AM,9:07 AM,Table 1C,6945,Midnight Circuit Breaker Alliance
Test Event,Official Match 2,,10:36 AM,10:43 AM,Table 1A,6945,Midnight Circuit Breaker Alliance
Test Event,Official Match 3,,12:12 PM,12:19 PM,Table 1B,6945,Midnight Circuit Breaker Alliance
Test Event,Official Match 1,,9:40 AM,9:47 AM,Table 1C,800,Solar Robotics
Test Event,Official Match 2,,10:44 AM,10:51 AM,Table 1A,800,Solar Robotics
Test Event,Official Match 3,,11:48 AM,11:55 AM,Table 1A,800,Solar Robotics
Test Event,Official Match 1,,10:04 AM,10:11 AM,Table 1C,4675,Storm Tinkerers
Test Event,Official Match 2,,11:08 AM,11:15 AM,Table 1B,4675,Storm Tinkerers
Test Event,Official Match 3,,12:04 PM,12:11 PM,Table 1B,4675,Storm Tinkerers
Test Event,Official Match 1,,10:04 AM,10:11 AM,Table 1B,17189,Cyber Rangers
Test Event,Official Match 2,,10:36 AM,10:43 AM,Table 1B,17189,Cyber Rangers
Test Event,Official Match 3,,11:24 AM,11:31 AM,Table 1C,17189,Cyber Rangers
Test Event,Official Match 1,,9:32 AM,9:39 AM,Table 1C,86642,Turbo Rebels
Test Event,Official Match 2,,10:12 AM,10:19 AM,Table 1B,86642,Turbo Rebels
Test Event,Official Match 3,,12:28 PM,12:35 PM,Table 1A,86642,Turbo Rebels
Test Event,Official Match 1,,9:32 AM,9:39 AM,Table 1A,24947,Savage Knights
Test Event,Official Match 2,,10:52 AM,10:59 AM,Table 1A,24947,Savage Knights
Test Event,Official Match 3,,11:56 AM,12:03 PM,Table 1C,24947,Savage Knights
Test Event,Official Match 1,,9:48 AM,9:55 AM,Table 1B,47519,Automated Systems Design Squadron
Test Event,Official Match 2,,11:16 AM,11:23 AM,Table 1C,47519,Automated Systems Design Squadron
Test Event,Official Match 3,,11:48 AM,11:55 AM,Table 1C,47519,Automated Systems Design Squadron
Test Event,Official Match 1,,9:24 AM,9:31 AM,Table 1A,41351,Mighty Mechanics
Test Event,Official Match 2,,11:00 AM,11:07 AM,Table 1B,41351,Mighty Mechanics
Test Event,Official Match 3,,11:48 AM,11:55 AM,Table 1B,41351,Mighty Mechanics
Test Event,Official Match 1,,9:16 AM,9:23 AM,Table 1A,8597,Electric Inventors
Test Event,Official Match 2,,10:20 AM,10:27 AM,Table 1C,8597,Electric Inventors
Test Event,Official Match 3,,12:28 PM,12:35 PM,Table 1B,8597,Electric Inventors
Test Event,Closing Ceremony,,,,,,
Test Event,Opening Ceremony,,,,,,
